Timestamp,pid.Output,real_current,measure.rpm
209519533,120.955,99,6995
209550200,73.1155,-132,6999
209584975,104.097,9,6998
209617763,192.964,193,7004
209648075,104.018,606,6997
209679422,121.968,216,7002
209709297,-115.029,-329,7004
209743816,100.968,361,6995
209773824,-62.0256,552,7005
209810037,53.952,264,6998
209835975,118.98,325,6993
209872369,-59.0564,-369,6997
209898305,120.957,2,6995
209928394,82.0374,-572,7002
209959894,0,-464,6992
209989131,72.9876,140,6999
210021437,-39.0099,-187,7002
210052964,70.9904,-75,7000
210086038,103.994,250,6998
210149509,47.2063,-139,6995
210177690,55.0011,258,6997
210209662,-94.0007,-104,7003
210239023,-44.9936,-128,6998
210274080,240.007,465,7004
210304055,-107.988,294,6995
210335176,-41.92,311,6993
210366209,174.077,65,6999
210398506,150.028,280,7006
210429578,117.935,-120,6998
210461265,0,-143,7006
210486172,0,298,7003
210522069,0,101,6995
210552366,150.024,-252,6997
210585150,-69.0034,-363,6996
210614027,99.0299,-129,6993
210646307,180.201,27,6995
210712276,194.034,496,7002
210740115,0,97,6996
210770947,100.052,518,7002
210802984,54.0412,229,7004
210833778,76.045,-2,7002
210864577,0,401,7000
210896940,76.0483,-687,7006
210923222,-22.0147,-212,7005
210957220,48.2975,406,6994
210986427,-114.778,-225,7000
211020595,-185.66,28,6998
211051609,72.8749,-516,7000
211085067,132.731,-149,7000
211115589,-87.8959,85,6998
211144698,168.063,167,6995
211175766,-38.9374,-28,6994
211206365,51.1054,169,7000
211238549,53.0627,-742,7001
211269473,97.5683,-11,6995
211288755,150.228,184,7001
211313832,81.6306,349,7006
211344251,73.9756,349,7004
211377144,197.299,333,6993
211409293,5.03909,216,7001
211440686,-23.7242,379,6998
211470842,101.159,539,6993
211504290,-87.741,-4,7004
211530262,99.0956,103,6995
211561959,119.098,447,6995
211594470,-106.877,-289,6994
211626473,121.081,-12,6995
211656375,11.8484,-156,6998
211688216,0,-309,6994
211718965,148.107,485,6999
211749894,8.11832,-580,7004
211782155,118.139,31,7000
211812924,101.138,114,6995
211843885,121.121,256,7003
211873870,54.1177,362,6995
211904192,220.07,-232,7004
211931659,0,23,6995
211964020,54.1262,-10,6999
211994662,-133.869,-99,7000
212027730,102.107,94,6995
