Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
6232296,7000,6232296,0,6232296,-55,6232296,0,
6262959,7000,6262959,0,6262959,51,6262959,0,
6295919,7000,6295919,0,6295919,52,6295919,0,
6359025,7000,6359025,0,6359025,3,6359025,0,
6385933,7000,6385933,0,6385933,58,6385933,0,
6418630,7000,6418630,0,6418630,-3,6418630,0,
6448774,7000,6448774,0,6448774,-7,6448774,0,
6482889,7000,6482889,0,6482889,-46,6482889,0,
6513894,7000,6513894,0,6513894,8,6513894,0,
6547003,7000,6547003,0,6547003,-51,6547003,0,
6575012,7000,6575012,0,6575012,3,6575012,0,
6605796,7000,6605796,0,6605796,-8,6605796,0,
6637192,7000,6637192,0,6637192,-3,6637192,0,
6668793,7000,6668793,0,6668793,-46,6668793,0,
6703116,7000,6703116,0,6703116,3,6703116,0,
6731539,7000,6731539,0,6731539,-46,6731539,0,
6753312,7000,6753312,0,6753312,8,6753312,0,
6793686,7000,6793686,0,6793686,3,6793686,0,
6823696,7000,6823696,0,6823696,57,6823696,0,
6854912,7000,6854912,0,6854912,-99,6854912,0,
6883070,7000,6883070,0,6883070,-8,6883070,0,
6918836,7000,6918836,0,6918836,8,6918836,0,
6949625,7000,6949625,0,6949625,2,6949625,0,
6970957,7000,6970957,0,6970957,2,6970957,0,
7009298,7000,7009298,0,7009298,10,7009298,0,
7040897,7000,7040897,0,7040897,8,7040897,0,
7074472,7000,7074472,0,7074472,-55,7074472,0,
7106692,7000,7106692,0,7106692,-56,7106692,0,
7140378,7000,7140378,0,7140378,2,7140378,0,
7170599,7000,7170599,0,7170599,7,7170599,0,
7215719,7000,7215719,0,7215719,-8,7215719,0,
7248399,7000,7248399,0,7248399,9,7248399,0,
7278055,7000,7278055,0,7278055,-8,7278055,0,
7309617,7000,7309617,0,7309617,3,7309617,0,
7341998,7000,7341998,0,7341998,-47,7341998,0,
7373706,7000,7373706,0,7373706,-2,7373706,0,
7407367,7000,7407367,0,7407367,-51,7407367,0,
7437651,7000,7437651,0,7437651,63,7437651,0,
7467282,7000,7467282,0,7467282,68,7467282,0,
7500921,7000,7500921,0,7500921,-3,7500921,0,
7530995,7000,7530995,0,7530995,-2,7530995,0,
7563379,7000,7563379,0,7563379,3,7563379,0,
7585979,7000,7585979,0,7585979,14,7585979,0,
7623834,7000,7623834,0,7623834,7,7623834,0,
7652688,7000,7652688,0,7652688,64,7652688,0,
7687896,7000,7687896,0,7687896,-46,7687896,0,
7718192,7000,7718192,0,7718192,1,7718192,0,
7749448,7000,7749448,0,7749448,-3,7749448,0,
7781845,7000,7781845,0,7781845,-105,7781845,0,
7827854,7000,7827854,0,7827854,-46,7827854,0,
7858462,7000,7858462,0,7858462,4,7858462,0,
7892044,7000,7892044,0,7892044,-56,7892044,0,
7923461,7000,7923461,0,7923461,-51,7923461,0,
7953511,7000,7953511,0,7953511,8,7953511,0,
7988132,7000,7988132,0,7988132,-33,7988132,0,
8017358,7000,8017358,0,8017358,63,8017358,0,
8048146,7000,8048146,0,8048146,-51,8048146,0,
8082251,7000,8082251,0,8082251,-50,8082251,0,
8113820,7000,8113820,0,8113820,8,8113820,0,
8145416,7000,8145416,0,8145416,3,8145416,0,
8175580,7000,8175580,0,8175580,57,8175580,0,
8220732,7000,8220732,0,8220732,-47,8220732,0,
8254145,7000,8254145,0,8254145,-2,8254145,0,
8284419,7000,8284419,0,8284419,7,8284419,0,
8318150,7000,8318150,0,8318150,-1,8318150,0,
8349249,7000,8349249,0,8349249,15,8349249,0,
